fecha,prediccion_max,prediccion_min
2024-10-06,86.70000000000006,52.300000000000125
2024-10-07,87.09999999999982,66.60000000000015
2024-10-08,91.39999999999917,52.5
2024-10-09,91.39999999999878,76.1
2024-10-10,91.59999999999984,61.300000000000075
2024-10-11,100.0,71.79999999999997
2024-10-12,90.70000000000019,66.89999999999985
2024-10-13,81.5,78.3999999999998
2024-10-14,91.0,57.399999999999906
2024-10-15,88.20000000000007,79.5
2024-10-16,98.2000000000001,60.3000000000001
2024-10-17,79.89999999999979,64.60000000000015
2024-10-18,90.70000000000019,68.20000000000002
2024-10-19,97.5,57.699999999999875
2024-10-20,81.10000000000022,60.399999999999885
2024-10-21,83.70000000000003,64.0
2024-10-22,97.0,59.19999999999988
2024-10-23,95.70000000000019,65.70000000000007
2024-10-24,93.59999999999978,75.0
2024-10-25,83.5,67.5
2024-10-26,86.0,57.60000000000011
2024-10-27,93.40000000000028,68.20000000000002
2024-10-28,99.1000000000002,65.0
2024-10-29,93.40000000000028,66.0
2024-10-30,87.09999999999985,57.19999999999981
2024-10-31,89.60000000000149,67.5
2024-11-01,84.90000000000002,64.40000000000013
2024-11-02,87.09999999999982,82.19999999999987
2024-11-03,88.20000000000007,60.60000000000011
2024-11-04,85.5,53.599999999999675
2024-11-05,87.0,56.5
2024-11-06,91.59999999999978,69.60000000000016
2024-11-07,90.70000000000019,65.70000000000007
2024-11-08,87.60000000000018,84.39999999999985
2024-11-09,87.29999999999991,55.6000000000001
2024-11-10,90.8999999999999,68.20000000000002
2024-11-11,88.5,79.30000000000013
2024-11-12,90.29999999999993,55.80000000000011
2024-11-13,90.10000000000018,62.0
2024-11-14,88.0,67.60000000000014
2024-11-15,86.39999999999995,70.0
2024-11-16,81.3,62.399999999999885
2024-11-17,89.79999999999986,59.5
2024-11-18,86.90000000000005,61.700000000000074
2024-11-19,90.29999999999991,58.600000000000115
2024-11-20,81.3,60.80000000000047
2024-11-21,88.0,67.80000000000013
2024-11-22,87.79999999999981,59.5
2024-11-23,91.20000000000016,64.0
2024-11-24,89.0,60.39999999999987
2024-11-25,88.70000000000009,56.29999999999998
2024-11-26,87.60000000000018,65.70000000000007
2024-11-27,88.90000000000003,57.60000000000011
2024-11-28,92.7999999999999,66.89999999999985
2024-11-29,90.5,58.0
2024-11-30,90.8999999999999,68.0
2024-12-01,90.8999999999999,59.5
2024-12-02,87.29999999999991,62.0
2024-12-03,90.5,71.8
2024-12-04,86.70000000000006,62.19999999999994
2024-12-05,84.90000000000002,53.39999999999996
2024-12-06,87.79999999999984,72.5
2024-12-07,92.5,77.39999999999985
2024-12-08,92.3,57.699999999999875
2024-12-09,90.29999999999991,64.19999999999987
2024-12-10,87.79999999999984,70.29999999999997
2024-12-11,82.60000000000005,65.70000000000007
2024-12-12,94.09999999999984,64.19999999999987
2024-12-13,89.60000000000149,65.10000000000012
2024-12-14,85.29999999999993,61.899999999999885
2024-12-15,89.79999999999984,71.60000000000134
2024-12-16,90.2999999999999,72.5
2024-12-17,91.0,64.60000000000015
2024-12-18,94.2999999999999,68.0
2024-12-19,99.10000000000018,44.599999999999824
2024-12-20,90.29999999999991,71.20000000000006
2024-12-21,87.2999999999999,65.5
2024-12-22,91.5999999999999,58.30000000000009
2024-12-23,89.60000000000149,60.3000000000001
2024-12-24,81.8999999999998,72.30000000000008
2024-12-25,92.10000000000015,61.0
2024-12-26,87.60000000000018,80.10000000000018
2024-12-27,86.70000000000006,68.69999999999987
2024-12-28,90.2999999999999,77.19999999999993
2024-12-29,89.79999999999986,66.19999999999895
2024-12-30,85.80000000000001,57.0
