fecha,prediccion_max,prediccion_min
2024-10-06,89.19999999999995,60.63600000000007
2024-10-07,86.0,57.0
2024-10-08,91.19599999999997,55.401999999999916
2024-10-09,85.50500000000002,57.0
2024-10-10,96.045,59.0
2024-10-11,90.50200000000001,58.0
2024-10-12,91.00399999999999,54.5
2024-10-13,94.59800000000017,59.7069999999999
2024-10-14,87.0,61.501999999999995
2024-10-15,84.1999999999999,55.8000000000001
2024-10-16,90.50200000000001,62.77200000000012
2024-10-17,91.59800000000017,54.5
2024-10-18,94.59800000000017,62.600000000000165
2024-10-19,84.39999999999985,62.77200000000012
2024-10-20,93.19999999999999,51.80000000000012
2024-10-21,89.19999999999995,52.35800000000007
2024-10-22,87.0,52.6979999999999
2024-10-23,87.8,68.69999999999987
2024-10-24,84.60100000000013,60.0
2024-10-25,87.30200000000008,60.0
2024-10-26,88.50399999999999,65.30000000000011
2024-10-27,87.8,57.39199999999993
2024-10-28,90.0,59.39999999999993
2024-10-29,88.69399999999995,57.19999999999988
2024-10-30,90.30000000000004,70.48400000000001
2024-10-31,87.0,57.673999999999936
2024-11-01,95.48499999999989,59.7069999999999
2024-11-02,91.19399999999997,63.0
2024-11-03,88.49799999999999,59.454999999999934
2024-11-04,85.29400000000008,57.673999999999936
2024-11-05,92.5,56.3000000000001
2024-11-06,90.66799999999998,53.798000000000094
2024-11-07,93.0,63.0
2024-11-08,84.1999999999999,55.60400000000005
2024-11-09,84.60000000000012,63.0
2024-11-10,93.19999999999999,59.0
2024-11-11,89.0,55.8000000000001
2024-11-12,82.0,55.60400000000005
2024-11-13,92.30000000000004,62.0
2024-11-14,89.0,61.498000000000005
2024-11-15,86.39999999999984,61.28000000000009
2024-11-16,92.5,52.7029999999999
2024-11-17,88.69399999999995,59.0
2024-11-18,91.19799999999998,51.39899999999998
2024-11-19,93.69699999999999,56.51599999999999
2024-11-20,84.60700000000014,58.0
2024-11-21,89.19999999999995,60.800000000000054
2024-11-22,89.0,59.0
2024-11-23,84.39999999999985,58.59900000000006
2024-11-24,91.19599999999997,56.3000000000001
2024-11-25,89.19999999999995,64.39999999999985
2024-11-26,91.19399999999997,66.6010000000001
2024-11-27,91.3999999999998,60.0
2024-11-28,89.0,58.0
2024-11-29,88.30000000000005,56.51599999999999
2024-11-30,86.64199999999994,58.0
2024-12-01,88.49799999999999,56.698999999999906
2024-12-02,88.0,64.39999999999985
2024-12-03,85.0,57.41199999999994
2024-12-04,90.71499999999996,54.0
2024-12-05,87.30000000000007,66.69899999999988
2024-12-06,92.69199999999995,62.20199999999989
2024-12-07,91.19599999999997,55.401999999999916
2024-12-08,84.39999999999985,61.697999999999894
2024-12-09,86.68699999999994,63.0
2024-12-10,95.72099999999999,51.80000000000012
2024-12-11,87.0,58.0
2024-12-12,87.39799999999983,62.600000000000165
2024-12-13,93.69699999999999,60.800000000000054
2024-12-14,86.64199999999994,61.27800000000009
2024-12-15,91.39999999999982,54.5
2024-12-16,89.60000000000022,60.30000000000011
2024-12-17,85.50500000000002,62.0
2024-12-18,88.49799999999999,57.673999999999936
2024-12-19,86.39999999999984,68.0
2024-12-20,81.30600000000013,57.39199999999993
2024-12-21,93.38599999999983,61.0
2024-12-22,84.6999999999999,56.3000000000001
2024-12-23,85.60000000000016,55.211999999999904
2024-12-24,86.64199999999994,62.600000000000165
2024-12-25,91.39999999999982,56.6939999999999
2024-12-26,88.5,60.0
2024-12-27,90.0,55.39999999999992
2024-12-28,90.66799999999998,59.39999999999993
2024-12-29,94.26700000000001,52.0
2024-12-30,93.0,59.7069999999999
