fecha,prediccion_max,prediccion_min
2024-10-06,92.5,58.100000000000065
2024-10-07,90.30000000000004,59.5
2024-10-08,81.5,55.1999999999999
2024-10-09,87.60000000000016,43.69999999999992
2024-10-10,93.0,52.6999999999999
2024-10-11,86.1999999999999,55.600000000000044
2024-10-12,91.89999999999984,54.6999999999999
2024-10-13,91.4000000000002,52.6999999999999
2024-10-14,87.60000000000016,53.59999999999966
2024-10-15,93.0,56.0
2024-10-16,80.39999999999985,56.10000000000005
2024-10-17,89.10000000000016,49.10000000000001
2024-10-18,85.30000000000011,55.4000000000002
2024-10-19,85.60000000000015,51.0
2024-10-20,90.69999999999995,55.899999999999956
2024-10-21,84.89999999999984,52.30000000000009
2024-10-22,89.60000000000036,54.899999999999956
2024-10-23,84.1999999999998,55.4000000000002
2024-10-24,88.89999999999984,55.600000000000044
2024-10-25,94.5,52.6999999999999
2024-10-26,90.0,55.600000000000044
2024-10-27,89.80000000000005,52.0
2024-10-28,91.60000000000016,56.10000000000005
2024-10-29,84.19999999999982,50.19999999999991
2024-10-30,89.10000000000016,54.6999999999999
2024-10-31,86.89999999999985,58.5
2024-11-01,85.10000000000015,51.100000000000016
2024-11-02,85.0,54.6999999999999
2024-11-03,86.39999999999985,52.30000000000009
2024-11-04,80.0,52.5
2024-11-05,87.80000000000082,48.199999999999974
2024-11-06,89.39999999999984,53.8000000000001
2024-11-07,91.60000000000016,53.59999999999966
2024-11-08,89.19999999999995,51.80000000000035
2024-11-09,87.39999999999984,52.6999999999999
2024-11-10,86.5,56.6999999999999
2024-11-11,84.19999999999982,47.0
2024-11-12,88.30000000000005,51.0
2024-11-13,89.19999999999995,55.899999999999956
2024-11-14,88.69999999999995,57.0
2024-11-15,80.80000000000013,52.0
2024-11-16,88.30000000000005,51.39999999999997
2024-11-17,90.69999999999995,52.0
2024-11-18,86.69999999999993,53.0
2024-11-19,86.69999999999993,57.19999999999939
2024-11-20,84.1999999999998,56.10000000000005
2024-11-21,82.80000000000013,54.3000000000001
2024-11-22,91.4000000000002,55.1999999999999
2024-11-23,92.10000000000016,53.1999999999999
2024-11-24,88.69999999999995,50.899999999999984
2024-11-25,88.30000000000005,53.10000000000003
2024-11-26,85.8000000000001,54.100000000000044
2024-11-27,95.0,49.5
2024-11-28,85.10000000000015,53.8000000000001
2024-11-29,88.0,52.89999999999996
2024-11-30,86.89999999999985,51.100000000000016
2024-12-01,87.80000000000082,52.19999999999991
2024-12-02,89.0,56.5
2024-12-03,79.89999999999986,57.19999999999939
2024-12-04,84.0,54.5
2024-12-05,92.10000000000016,51.100000000000016
2024-12-06,89.10000000000016,56.30000000000011
2024-12-07,90.5,52.89999999999996
2024-12-08,82.60000000000015,54.5
2024-12-09,85.8000000000001,54.899999999999956
2024-12-10,90.30000000000004,51.60000000000003
2024-12-11,91.60000000000016,55.1999999999999
2024-12-12,85.30000000000011,52.89999999999996
2024-12-13,90.5,53.39999999999996
2024-12-14,84.6999999999999,54.0
2024-12-15,85.60000000000015,51.100000000000016
2024-12-16,88.69999999999995,49.10000000000001
2024-12-17,82.0,54.5
2024-12-18,89.60000000000036,52.5
2024-12-19,93.0,54.6999999999999
2024-12-20,89.19999999999995,55.8000000000001
2024-12-21,89.19999999999995,52.0
2024-12-22,94.30000000000001,55.600000000000044
2024-12-23,82.60000000000015,54.899999999999956
2024-12-24,90.69999999999995,54.0
2024-12-25,85.5,56.6999999999999
2024-12-26,87.30000000000007,52.89999999999996
2024-12-27,87.80000000000082,60.30000000000011
2024-12-28,84.1999999999998,55.1999999999999
2024-12-29,83.10000000000015,53.39999999999996
2024-12-30,96.0,50.5
